City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,usol'ye,59.4268,56.6808,13.13,69,64,1.6,RU,1687831848
332,pechora,65.1472,57.2244,10.11,70,100,3.46,RU,1687831848
333,alice,27.7523,-98.0697,31.69,65,0,7.3,US,1687831872
334,rechka-vydrino,51.485,104.8461,11.95,67,69,2.56,RU,1687832137
335,polyarnyy,69.1989,33.4478,7.74,87,90,1.11,RU,1687832137
336,bel air north,39.5543,-76.3731,23.73,91,98,2.24,US,1687832138
337,ingeniero jacobacci,-41.3427,-69.5448,4.07,74,100,3.26,AR,1687832138
338,valparaiso,-33.0393,-71.6273,11.8,100,75,1.03,CL,1687831850
339,sale,34.0389,-6.8166,32.58,46,0,0.0,MA,1687832138
340,gostyn,51.8825,17.0123,17.82,94,100,4.38,PL,1687832138
341,lakota,5.8528,-5.6883,19.78,96,100,1.02,CI,1687832139
342,baoshan,46.5586,131.4244,29.61,41,97,4.65,CN,1687832139
343,tongchuanshi,35.0806,109.0897,28.67,51,50,4.19,CN,1687832139
344,selfoss,63.9331,-20.9971,10.02,90,39,1.9,IS,1687832140
345,kindu,-2.95,25.95,20.51,97,15,0.71,CD,1687832140
346,page,36.9147,-111.4558,33.88,7,0,6.71,US,1687832140
347,salahonda,2.1019,-78.7217,26.92,78,13,2.36,CO,1687832141
348,vila franca do campo,37.7167,-25.4333,20.23,92,80,3.66,PT,1687832141
349,ancud,-41.8697,-73.8203,8.11,86,100,2.74,CL,1687832141
350,fang,19.9169,99.2145,26.24,85,75,0.95,TH,1687832141
351,jiuquan,39.7432,98.5174,20.85,18,100,1.46,CN,1687832141
352,pacific grove,36.6177,-121.9166,21.12,85,100,4.12,US,1687831853
353,carutapera,-1.195,-46.02,23.65,94,51,2.4,BR,1687832142
354,santa terezinha,-29.9002,-50.0904,18.85,79,0,2.46,BR,1687831854
355,sanctuary point,-35.1114,150.629,19.07,38,70,1.96,AU,1687832142
356,barra de santo antonio,-9.4047,-35.5072,21.6,84,100,4.69,BR,1687832142
357,moyynkum,44.2914,72.9469,27.25,16,0,5.0,KZ,1687832143
358,happy valley-goose bay,53.3168,-60.3315,19.17,42,75,2.57,CA,1687832143
359,cody,44.5263,-109.0565,16.47,71,100,0.45,US,1687832143
360,puerto baquerizo moreno,-0.9,-89.6,24.49,80,90,5.08,EC,1687831943
361,tchintabaraden,15.8969,5.7985,30.65,45,100,6.62,NE,1687831856
362,notodden,59.5594,9.2585,15.53,92,100,0.4,NO,1687832144
